Id,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Album,Release_date,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,Genre_new,country_chart,date_chart,position_chart
1qq7YnBOcXtfX3tCCMJllG,16.8,black on black,NCT - NCT 2018,album,k-pop,2203143.0,NCT 2018 EMPATHY,2018-03-14,0.523,0.8640000000000001,10,-4.746,0,0.359,0.106,0.000454,0.0672,0.247,142.11,k-pop,Indonesia,2018-03-15,182.0
1r1fPuhj9H4VdXr7OK6FL5,48.8,castle of glass,Linkin Park,album,alternative metal,17132813.0,LIVING THINGS,2012-06-20,0.615,0.911,1,-3.584,0,0.0278,0.0686,0.00188,0.0908,0.685,108.0,metal,Taiwan,2017-07-21,80.0
1rEWW01REDAPvBUrHWtI4l,171.64999999999995,pekat,Yura Yunita - Reza Rahadian,single,indonesian jazz,318152.0,Pekat,2018-04-26,0.518,0.162,1,-11.189,1,0.0306,0.907,1.15e-06,0.116,0.258,83.84100000000002,jazz,Indonesia,2018-04-27,80.0
1rIKgCH4H52lrvDcz50hS8,3975.1,lush life,Zara Larsson,album,dance pop,7920553,So Good,2017-03-17,0.6940000000000001,0.7120000000000001,7,-3.923,0,0.046,0.133,0.0,0.211,0.799,98.022,pop,France,2017-01-01,24.0
1rRhkSL28ko0rj9k8Gvdlb,2104.7999999999997,pergi hilang dan lupakan,Remember of Today,single,indonesian pop punk,40433.0,Dont Put Off Till Tomorrow What You Can Do Today,2014-03-31,0.544,0.701,0,-5.289,1,0.0337,0.000617,0.0,0.0973,0.294,129.94899999999998,pop,Indonesia,2020-09-06,120.0
1rbjic9uKr1p6nxnjLDHN6,6667.300000000001,do you love me,Stephanie Poetri,single,indonesian pop,413249.0,Do You Love Me,2020-02-14,0.691,0.5720000000000001,0,-7.745,1,0.0652,0.691,6.34e-06,0.168,0.6970000000000001,102.018,pop,Indonesia,2020-02-17,56.0
1rdH5fBweoMY9TxYjlGh3c,1678.35,in the night,Saxx in the City - Teza Sumendra,single,indonesian jazz,3594.0,In the Night,2017-03-31,0.725,0.63,5,-4.466,1,0.0494,0.0656,0.00533,0.348,0.732,114.996,jazz,Indonesia,2017-04-03,80.0
1rfofaqEpACxVEHIZBJe6W,53849.200000000055,havana,Camila Cabello - Young Thug,album,dance pop,18673543.0,Camila,2018-01-12,0.765,0.523,2,-4.333,1,0.03,0.184,3.5600000000000005e-05,0.132,0.394,104.988,pop,Global,2018-01-20,1.0
1rgnBhdG2JDFTbYkYRZAku,67423.09999999996,dance monkey,Tones And I,single,australian pop,2283019.0,Dance Monkey,2019-05-10,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,pop,Global,2020-02-23,1.0
1rpp0SvLCIaW9MLO4EP5Z4,15.2,lapang dada,Sheila On 7,album,indonesian alternative rock,3296158.0,Musim Yang Baik,2014-12-10,0.67,0.903,7,-5.569,1,0.0517,0.426,4.22e-06,0.147,0.7040000000000001,94.014,rock,Indonesia,2017-02-25,182.0
1rqqCSm0Qe4I9rUvWncaom,9500.049999999996,high hopes,Panic! At The Disco,album,baroque pop,10097733.0,Pray for the Wicked,2018-06-22,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.6809999999999999,82.014,pop,Poland,2019-01-05,1.0
1sCxVKWImDZSZKvG0U9B23,18324.8,bad liar,Selena Gomez,single,dance pop,23289724.0,Bad Liar,2017-05-18,0.953,0.41,1,-6.542999999999998,1,0.0705,0.175,0.0,0.0768,0.718,121.074,pop,Poland,2017-05-24,2.0
1sDfnkQge4Nmkp8sgLgH1i,84145.99999999997,kecewa,Bunga Citra Lestari,album,indonesian pop,1096745.0,Tentang Kamu,2008-01-01,0.609,0.442,9,-6.627999999999999,1,0.0269,0.8220000000000001,0.000225,0.101,0.247,138.134,pop,Indonesia,2018-05-27,30.0
